,2m Air Temperature,Relative Humidity,GHI,DNI,DHI,IR(h),10m Wind speed,10m wind direction,Air pressure,Month,Day,Declination,Hour angle,Rb_front,Rb_rear,DOY,Solar Zenith angle,G_Front,Total_G
2030-05-01 20:45:00,13.504211185724492,63.13665490406746,0.456585714400858,1.8282693623406792,0.0,277.7756482983573,3.8064065527956217,331.4682559282395,100321.0227360516,5.0,1.0,14.90088745587464,132.25325594639025,0.0,1.0,121,110.21466670673372,,
2030-05-01 21:00:00,13.41,63.75,0.0,0.0,0.0,277.4,3.72,333.0,100333.0,5.0,1.0,14.90088745587464,135.0,0.0,1.0,121,111.81922452411513,,
2030-05-01 21:15:00,13.318738658266131,64.39063368974958,0.0,0.0,0.02371284498947084,277.1036450827522,3.6354460900197525,334.53652642077077,100342.97934800763,5.0,1.0,14.90088745587464,136.6493462598317,0.0,1.0,121,112.75502302639423,,
2030-05-01 21:30:00,13.230427160522877,65.0585559733162,0.0,0.0,0.021492632440548172,276.88658354661385,3.55274482285488,336.07783519055187,100350.9607800745,5.0,1.0,14.90088745587464,137.20129472588536,0.0,1.0,121,113.0633325339758,,
2030-05-01 21:45:00,13.144402082518186,65.74720027022472,0.0,0.0,0.008526103671351423,276.67623023716857,3.468671144262567,337.580226365057,100357.21182210412,5.0,1.0,14.90088745587464,140.40259582899625,0.0,1.0,121,114.80117238814198,,
2030-05-01 22:00:00,13.06,66.45,0.0,0.0,0.0,276.4,3.38,339.0,100362.0,5.0,1.0,14.90088745587464,150.0,0.0,1.0,121,119.4330648188086,,
2030-05-01 22:15:00,12.977220912968319,67.16695516264204,0.0373970191562772,0.14969314583430454,0.0,276.0578928351081,3.2867313900671786,340.3371560953809,100365.32531376221,5.0,1.0,14.90088745587464,165.99350723889654,0.0,1.0,121,124.74615340182827,,
2030-05-01 22:30:00,12.89606482142314,67.89806575815085,0.033861019942454496,0.13545338780148092,0.0,275.6499087424928,3.1888653144641035,341.59169465119965,100367.18776339068,5.0,1.0,14.90088745587464,188.38311754568582,0.0,1.0,121,125.75294410175827,,
2030-05-01 22:45:00,12.816876319166393,68.64264347458423,0.01339451075740454,0.053486935867916856,0.0,275.26697027863116,3.0840665816289765,342.80038588141855,100366.45633132382,5.0,1.0,14.90088745587464,195.33116907963216,0.0,1.0,121,124.43916203384228,,
2030-05-01 23:00:00,12.74,69.4,0.0,0.0,0.0,275.0,2.97,344.0,100362.0,5.0,1.0,14.90088745587464,165.0,0.0,1.0,121,124.51834211884292,,
2030-05-01 23:15:00,12.665435863923964,70.17013533439818,0.0,0.0,0.0008012264515657086,274.8489979065994,2.846665569577176,345.19053700694394,100353.81876941925,5.0,1.0,14.90088745587464,97.38961030678934,0.0,1.0,121,86.32207831868861,,
2030-05-01 23:30:00,12.593183910938283,70.95304947777875,0.0,0.0,0.0008929598544529392,274.81396399842924,2.7140632903605018,346.37199690225043,100341.91263958151,5.0,1.0,14.90088745587464,-7.5,1.0,0.0,121,24.771509601940185,,
2030-05-01 23:45:00,12.51184000248346,71.75943888226993,0.0,0.0,0.0005382133301137002,274.8219480910445,2.5869293659635777,347.6174583464317,100330.30018995302,5.0,1.0,14.90088745587464,-112.38961030678927,0.0,1.0,121,97.233987400806,,
2030-05-02 00:00:00,12.41,72.6,0.0,0.0,0.0,274.8,2.48,349.0,100323.0,5.0,2.0,15.210363206270316,-180.0,0.0,1.0,122,126.01383679372971,,
2030-05-02 00:15:00,12.2876639034879,73.4747328309689,0.0005380548222775237,0.0003513729793131904,0.0,274.74811972529585,2.393275192469771,350.5196218629554,100320.01206972246,5.0,2.0,15.210363206270316,-210.33116907963216,0.0,1.0,122,119.01296747001456,,
2030-05-02 00:30:00,12.144831712947163,74.38363737517668,0.0,0.0,0.0,274.6663072669319,2.3267549433728885,352.1763239352978,100321.33639912037,5.0,2.0,15.210363206270316,-203.3831175456858,0.0,1.0,122,121.74879570115212,,
2030-05-02 00:45:00,11.979583665932841,75.3757232317961,0.0,0.0,0.0,274.55134117510204,2.2693572225895617,353.24486403999134,100320.9925289581,5.0,2.0,15.210363206270316,-180.9935072388965,0.0,1.0,122,126.00582625525897,,
